Date,Close,High,Low,Open,Volume
2014-07-17,62.7657,64.1214,62.6129,63.3257,13276389
2014-07-18,63.4529,63.4714,62.2493,63.1,11772201
2014-07-21,64.5643,65.3571,63.9457,64.5186,34670965
2014-07-22,61.5843,63.5243,60.7231,63.2471,57177918
2014-07-23,61.1286,62.2014,60.93,61.4871,17278065
2014-07-24,60.7686,61.4584,59.86,61.3529,18638704
2014-07-25,60.2657,61.1671,60.0571,60.7143,11616017
2014-07-28,60.6657,60.8443,59.7886,60.3157,11960907
2014-07-29,60.6114,61.1986,60.4586,60.4586,9287369
2014-07-30,62.0514,62.1843,60.6157,60.6786,15306193
2014-07-31,60.3886,61.8529,60.1843,61.4657,13827009
2014-08-01,60.7714,61.1038,58.93,60.2514,18949987
2014-08-04,60.3857,61.4286,60.1114,61.0286,10694607
2014-08-05,60.4071,61.1429,60.0443,60.1857,10665487
2014-08-06,61.4714,62.1286,60.0786,60.1429,15840573
2014-08-07,64.2386,64.2786,62.0786,62.1514,27334916
2014-08-08,63.6929,64.4243,63.15,64.3171,15506120
2014-08-11,64.5057,65.3786,64.1014,64.1743,13253779
2014-08-12,63.7729,64.7143,63.3443,64.4786,10849524
2014-08-13,64.5043,64.8879,63.8314,64.0857,9063075
2014-08-14,64.41,65.0,64.0314,64.6014,6676369
2014-08-15,65.5843,66.0,64.0857,64.4986,22053577
2014-08-18,66.5714,67.0714,65.8929,66.0086,13522061
2014-08-19,66.8786,67.2143,66.0614,66.7271,10907015
2014-08-20,67.4557,67.6786,66.363,66.7143,12170830
2014-08-21,67.4357,68.0214,66.8101,67.3257,11753280
2014-08-22,68.4557,68.5071,67.15,67.2771,13746516
2014-08-25,68.7043,69.3286,68.2186,68.7929,13503882
2014-08-26,68.48,68.8357,67.793,68.3571,10158379
2014-08-27,67.8143,68.6064,67.6614,68.4857,10394909
2014-08-28,67.8871,68.2114,67.2586,67.5214,7601867
2014-08-29,68.2343,68.6429,67.7343,68.1214,9839410
2014-09-01,68.2343,68.2343,68.2343,68.2343,0
2014-09-02,68.0857,68.3986,67.7986,68.3129,8834532
2014-09-03,68.1986,69.6571,68.0757,68.6457,16227498
2014-09-04,67.5243,68.8129,67.4471,68.4443,11962335
2014-09-05,67.9543,68.1929,67.1529,67.6043,11953340
2014-09-08,68.4757,68.6571,67.7429,67.7714,7675514
2014-09-09,68.43,69.8981,68.0571,69.4243,19755036
2014-09-10,69.1986,69.25,68.1481,68.6,9110731
2014-09-11,68.7943,69.1943,68.5243,68.9386,7869988
